symbol,_tickSize,qty,buyPrice,sellPrice,boughtTimestamp,soldTimestamp,duration,pnl,tradeNumber,cummulative
NQH5,0.25,1,21904,21912,1/31/2025 9:11,1/31/2025 9:12,47sec,$160.00 ,207,"$6,720.00 "
NQH5,0.25,1,21888,21896,1/31/2025 9:14,1/31/2025 9:13,-83sec,$160.00 ,208,"$6,880.00 "
NQH5,0.25,1,21904,21892,1/31/2025 9:24,1/31/2025 9:25,1min 6sec,($240.00),209,"$6,640.00 "
NQH5,0.25,1,21904,21912,1/31/2025 9:30,1/31/2025 9:31,1min 19sec,$160.00 ,210,"$6,800.00 "
NQH5,0.25,1,21928,21928,1/31/2025 9:40,1/31/2025 9:40,0sec,$0.00 ,211,"$6,800.00 "
NQH5,0.25,1,21916,21912,1/31/2025 9:44,1/31/2025 9:41,-188sec,($80.00),212,"$6,720.00 "
NQH5,0.25,1,21920,21924,1/31/2025 9:49,1/31/2025 9:50,1min 37sec,$80.00 ,213,"$6,800.00 "
NQH5,0.25,1,21952,21944,1/31/2025 10:00,1/31/2025 10:00,-17sec,($160.00),214,"$6,640.00 "
NQH5,0.25,1,21964,21956,1/31/2025 10:03,1/31/2025 10:04,1min 6sec,($160.00),215,"$6,480.00 "
NQH5,0.25,1,21948,21944,1/31/2025 10:17,1/31/2025 10:17,7sec,($80.00),216,"$6,400.00 "
NQH5,0.25,1,21920,21916,1/31/2025 10:36,1/31/2025 10:36,-35sec,($80.00),217,"$6,320.00 "
NQH5,0.25,1,21888,21900,1/31/2025 10:43,1/31/2025 10:39,-227sec,$240.00 ,218,"$6,560.00 "
NQH5,0.25,1,21904,21896,1/31/2025 10:48,1/31/2025 10:52,4min 0sec,($160.00),219,"$6,400.00 "
